name,groups__name,groups__teams__name,groups__teams__code
World Cup 2014,Group A,Cameroon,CMR
World Cup 2014,Group A,Croatia,CRO
World Cup 2014,Group A,Mexico,MEX
World Cup 2014,Group A,Brazil,BRA
World Cup 2014,Group B,Spain,ESP
World Cup 2014,Group B,Netherlands,NED
World Cup 2014,Group B,Australia,AUS
World Cup 2014,Group B,Chile,CHI
World Cup 2014,Group C,C̫te d'Ivoire,CIV
World Cup 2014,Group C,Japan,JPN
World Cup 2014,Group C,Greece,GRE
World Cup 2014,Group C,Colombia,COL
World Cup 2014,Group D,Costa Rica,CRC
World Cup 2014,Group D,Italy,ITA
World Cup 2014,Group D,England,ENG
World Cup 2014,Group D,Uruguay,URU
World Cup 2014,Group E,Honduras,HON
World Cup 2014,Group E,France,FRA
World Cup 2014,Group E,Switzerland,SUI
World Cup 2014,Group E,Ecuador,ECU
World Cup 2014,Group F,Nigeria,NGA
World Cup 2014,Group F,Bosnia-Herzegovina,BIH
World Cup 2014,Group F,Iran,IRN
World Cup 2014,Group F,Argentina,ARG
World Cup 2014,Group G,Ghana,GHA
World Cup 2014,Group G,Germany,GER
World Cup 2014,Group G,Portugal,POR
World Cup 2014,Group G,United States,USA
World Cup 2014,Group H,Algeria,ALG
World Cup 2014,Group H,South Korea,KOR
World Cup 2014,Group H,Belgium,BEL
World Cup 2014,Group H,Russia,RUS
